case_id	class	template	format	core_spec	mutation	producer_fast_or_frontend_result	rust_ref_result	ocaml_result	hash_or_boundary
hash_core_expr_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_all_six_expr_payloads	checked	checked	checked	NPA-CORE-EXPR-0.1_and_NPA-KERNEL-CORE-EXPR-0.1_equal_to_v3
hash_interface_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_unchanged_public_declaration	checked	checked	checked	NPA-DECL-IFACE-0.1_equal_to_v3
hash_export_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_unchanged_export_block	checked	checked	checked	NPA-MODULE-EXPORT-0.2.0_equal_to_v3
hash_axiom_report_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_unchanged_axiom_report	checked	checked	checked	NPA-AXIOM-REPORT-0.1_equal_to_v3
hash_universe_constraints_stable	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_unchanged_universe_context	checked	checked	checked	NPA-UNIVERSE-CONSTRAINTS-0.1_equal_to_v3
hash_decl_certificate_bumped	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_same_surviving_decl_payload	checked	checked	checked	NPA-DECL-CERT-0.4.0_not_equal_to_v3
hash_module_certificate_bumped	hash	stable_payload_pair	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_same_surviving_module_payload	checked	checked	checked	NPA-MODULE-CERT-0.4.0_not_equal_to_v3
hash_reduction_export_changed	hash	reduction_without_let_exports	NPA-CERT-0.4.0	NPA-Core-0.4.0	compare_v3_reduction_export	checked	checked	checked	NPA-MODULE-EXPORT-0.2.0_not_equal_after_deleted_exports
hash_header_only_upgrade	hash_rejection	empty_module_v3	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_v3_headers_without_rehash	certificate_hash_mismatch	certificate_hash_mismatch	certificate_hash_mismatch	current_header_passes_then_final_hash_rejects
hash_old_decl_domain	hash_rejection	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	rehash_decl_with:NPA-DECL-CERT-0.3.0	decl_certificate_hash_mismatch	decl_certificate_hash_mismatch	decl_certificate_hash_mismatch	old_domain_never_current
hash_old_module_domain	hash_rejection	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	rehash_module_with:NPA-MODULE-CERT-0.3.0	certificate_hash_mismatch	certificate_hash_mismatch	certificate_hash_mismatch	old_domain_never_current
import_old_pair	closure_rejection	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_import_pair:NPA-CERT-0.3.0,NPA-Core-0.3.0	unsupported_format	format_mismatch	format_mismatch	import_rejects_before_export_or_cache_use
import_mixed_old_format	closure_rejection	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_import_pair:NPA-CERT-0.3.0,NPA-Core-0.4.0	unsupported_format	format_mismatch	format_mismatch	import_rejects_before_export_or_cache_use
import_mixed_old_core	closure_rejection	minimal_six_form_module	NPA-CERT-0.4.0	NPA-Core-0.4.0	replace_import_pair:NPA-CERT-0.4.0,NPA-Core-0.3.0	unsupported_format	core_spec_mismatch	core_spec_mismatch	import_rejects_before_export_or_cache_use
source_typed_let	source_rejection	source_snippet	-	-	let_x_colon_Nat_assign_zero_in_x	removed_term_let	not_applicable	not_applicable	variant:RemovedTermLet_phase:machine_term_parse
source_unannotated_let	source_rejection	source_snippet	-	-	let_x_assign_zero_in_x	removed_term_let	not_applicable	not_applicable	variant:RemovedTermLet_phase:machine_term_parse_not_missing_type
source_nested_let	source_rejection	source_snippet	-	-	let_x_colon_Nat_assign_zero_in_let_y_colon_Nat_assign_x_in_y	removed_term_let	not_applicable	not_applicable	first_exact_let_token_rejects
source_declaration_name_let	source_rejection	source_snippet	-	-	declaration_identifier:let	removed_term_let	not_applicable	not_applicable	exact_source_span:let
source_binder_name_let	source_rejection	source_snippet	-	-	binder_identifier:let	removed_term_let	not_applicable	not_applicable	exact_source_span:let
source_letter_identifier	source_positive	source_snippet	-	-	identifier:letter	accepted	not_applicable	not_applicable	exact_token_boundary
source_comment_let	source_positive	source_snippet	-	-	comment_contains:let	accepted	not_applicable	not_applicable	comment_is_inert
source_string_let	source_positive	source_snippet	-	-	string_contains:let	accepted	not_applicable	not_applicable	string_is_inert
source_in_declaration_name	source_positive	source_snippet	-	-	declaration_identifier:in	accepted	not_applicable	not_applicable	in_is_ordinary_declaration_identifier
source_in_binder_name	source_positive	source_snippet	-	-	binder_identifier:in	accepted	not_applicable	not_applicable	in_is_ordinary_binder_identifier
source_in_reference	source_positive	source_snippet	-	-	reference_identifier:in	accepted	not_applicable	not_applicable	in_is_ordinary_reference_identifier
