identity	disposition	target_identity	rationale	first_path	first_line	occurrence_count
NPA-L2-SEM-TEST-1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/tests/package_l2_acceptance.rs	288	2
NPA-L2-TRANSPORT-CLOSURE-v1	bump	NPA-L2-TRANSPORT-CLOSURE-v2	hashes_changed_inline_transport_projection_bytes	npa-core/crates/npa-package/src/l2_namespace_transport.rs	1082	1
NPA-L2-TRANSPORT-MAP-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/l2_namespace_transport.rs	1160	1
NPA-L2-TRANSPORT-PROJECTION-v1	bump	NPA-L2-TRANSPORT-PROJECTION-v2	inline_transport_term_grammar_loses_tag_6	npa-core/crates/npa-package/src/l2_namespace_transport.rs	1006	1
NPA-LEVEL-0.1	unrelated	-	level_grammar_and_merkle_payload_do_not_encode_terms_local_values_diagnostics_or_zeta	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	1	19
NPA-MATHLIB-CATALOG-CHANGE-EVENT-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v3.rs	43	1
NPA-MATHLIB-CATALOG-CHANGE-SET-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v3.rs	42	1
NPA-MATHLIB-CATALOG-REGISTRY-CHANGE-REQUEST-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/catalog_registry_change_request.rs	19	1
NPA-MATHLIB-CATALOG-REGISTRY-RECOVERY-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/src/package_promotion_registry_reconcile.rs	1664	1
NPA-MATHLIB-CATALOG-REGISTRY-SYNC-ATTESTATION-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/catalog_registry_sync_attestation.rs	30	1
NPA-MATHLIB-CATALOG-TARGET-REVISION-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v3.rs	41	1
NPA-MATHLIB-CATALOG-TARGET-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v3.rs	40	1
NPA-MATHLIB-PROMOTION-LEGACY-TARGET-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry.rs	126	1
NPA-MATHLIB-PROMOTION-ORIGIN-REGISTRY-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry.rs	125	1
NPA-MATHLIB-PROMOTION-ORIGIN-REGISTRY-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v2.rs	58	1
NPA-MATHLIB-PROMOTION-ORIGIN-REGISTRY-v3	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_registry_v3.rs	39	1
NPA-MATHLIB-PROMOTION-PATH-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_transaction.rs	44	1
NPA-MATHLIB-PROMOTION-PLAN-EDGES-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_plan_v2.rs	30	1
NPA-MATHLIB-PROMOTION-PLAN-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_plan.rs	109	1
NPA-MATHLIB-PROMOTION-PLAN-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_plan_v2.rs	28	1
NPA-MATHLIB-PROMOTION-ROUTE-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_plan.rs	110	1
NPA-MATHLIB-PROMOTION-ROUTE-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_plan_v2.rs	29	1
NPA-MATHLIB-PROMOTION-TRANSACTION-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_transaction.rs	43	1
NPA-MATHLIB-VERIFIED-MATERIALIZATION-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-package/src/promotion_materialization_attestation.rs	42	1
NPA-MODULE-CERT-0.1	bump	NPA-MODULE-CERT-0.4.0	module_certificate_header_and_semantic_epoch_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	36	4
NPA-MODULE-CERT-0.1.2	bump	NPA-MODULE-CERT-0.4.0	module_certificate_header_and_semantic_epoch_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	34	3
NPA-MODULE-CERT-0.2.0	bump	NPA-MODULE-CERT-0.4.0	module_certificate_header_and_semantic_epoch_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	32	4
NPA-MODULE-CERT-0.3.0	bump	NPA-MODULE-CERT-0.4.0	module_certificate_header_and_semantic_epoch_change	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	30	6
NPA-MODULE-EXPORT-0.1	bump	NPA-MODULE-EXPORT-0.2.0	old_only_export_domain_removed_with_old_decoder	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	23	4
NPA-MODULE-EXPORT-0.1.2	bump	NPA-MODULE-EXPORT-0.2.0	old_only_export_domain_removed_with_old_decoder	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	21	3
NPA-MODULE-EXPORT-0.2.0	retain-with-domain-separated-child	NPA-MODULE-EXPORT-0.2.0	unchanged_public_layout_commits_current_term_interface_or_module_hash_children	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	17	3
NPA-P8H13-CERT-MUTATION-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/tests.rs	7885	1
NPA-P8H13-REFERENCE-FUZZ-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-checker-ref/src/lib.rs	5959	1
NPA-PRODUCER-CHAIN-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/producer.rs	358	2
NPA-PRODUCER-DEPENDENCY-SELECTIVE-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/producer.rs	367	1
NPA-PRODUCER-ENV-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/producer.rs	337	2
NPA-PRODUCER-LIMITS-0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/src/producer.rs	76	1
NPA-TERM-0.1	retain-with-domain-separated-child	NPA-TERM-0.1	six_surviving_payloads_are_byte_identical_and_current_pair_or_parser_makes_tag_6_unreachable	npa-core/checkers/npa-checker-ext/src/ext_canonical.ml	3	11
NPA-UNIVERSE-CONSTRAINTS-0.1	unrelated	-	universe_parameter_and_level_constraint_payload_does_not_encode_term_or_local_context_shape	npa-core/crates/npa-cert/src/hash.rs	53	1
beta-delta-iota-zeta.v0.1	bump	beta-delta-iota.v0.1	zeta_removed_no_compatibility_alias	npa-core/crates/npa-api/src/session.rs	2471	3
builtin-nat-eq-rec-v0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/session.rs	2475	4
builtin-none-v0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/session.rs	2474	3
core-spec-v0.1	bump	core-spec-v0.2	machine_kernel_profile_semantics_become_let_free	npa-core/crates/npa-api/src/session.rs	2469	3
levels-imax-v0.1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/session.rs	2472	3
npa-agent-platform.v0	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/apps/verifier-service/src/lib.rs	3862	1
npa-agent-platform.v1	retain-with-domain-separated-child	npa-agent-platform.v1	agent_platform_schema_is_unchanged_while_current_toolchain_and_certificate_pins_are_replaced	npa-agents/apps/agent-api/src/lib.rs	16	7
npa-agent-platform.v999	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/apps/agent-api/src/lib.rs	2577	2
npa-ai-proof-meta-v0.1	retain-with-domain-separated-child	npa-ai-proof-meta-v0.1	unchanged_untrusted_metadata_schema_commits_rebuilt_certificate_export_and_axiom_report_hashes	npa-core/crates/npa-package/src/artifact_ledger.rs	19	5
npa-ai-proof-replay-v0.1	unrelated	-	untrusted_replay_schema_carries_raw_strings_and_an_artifact_path_but_no_term_encoding_or_accepted_proof_identity	npa-core/crates/npa-package/src/proof_replay.rs	19	1
npa-checker-ext-toolchain-v0-8-compat	bump	npa-checker-ext-toolchain-v0-9-compat	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	25	2
npa-checker-ext-toolchain-v0-8-real	bump	npa-checker-ext-toolchain-v0-9-real	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	26	2
npa-checker-ext-toolchain-v0.8.0-fixture	bump	npa-checker-ext-toolchain-v0.9.0-fixture	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	591	1
npa-checker-ref-toolchain-v0-8-fixture	bump	npa-checker-ref-toolchain-v0-9-fixture	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	636	3
npa-client.diagnostic.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/crates/npa-client/src/lib.rs	654	1
npa-client.fixture.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/crates/npa-client/src/lib.rs	712	1
npa-client.local-process-request.v1	retain-with-domain-separated-child	npa-client.local-process-request.v1	local_process_envelope_is_unchanged_and_nested_current_payloads_or_results_are_validated_by_their_owner	npa-agents/crates/npa-client/src/lib.rs	889	7
npa-client.local-process-response.v1	retain-with-domain-separated-child	npa-client.local-process-response.v1	local_process_envelope_is_unchanged_and_nested_current_payloads_or_results_are_validated_by_their_owner	npa-agents/apps/agentctl/tests/common/mod.rs	323	19
npa-client.local-process.stderr.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/crates/npa-client/src/lib.rs	2052	2
npa-client.request.v1	retain-with-domain-separated-child	npa-client.request.v1	client_hash_layout_is_unchanged_and_commits_rebuilt_candidate_state_certificate_or_diagnostic_hashes	npa-agents/crates/npa-client/src/lib.rs	502	1
npa-client.tactic-batch-result.semantic.v1	retain-with-domain-separated-child	npa-client.tactic-batch-result.semantic.v1	client_hash_layout_is_unchanged_and_commits_rebuilt_candidate_state_certificate_or_diagnostic_hashes	npa-agents/crates/npa-client/src/lib.rs	623	1
npa-client.tactic-batch.shared-setup.v1	retain-with-domain-separated-child	npa-client.tactic-batch.shared-setup.v1	client_hash_layout_is_unchanged_and_commits_rebuilt_candidate_state_certificate_or_diagnostic_hashes	npa-agents/crates/npa-client/src/lib.rs	325	1
npa-client.tactic-fixture.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-agents/crates/npa-client/src/lib.rs	725	1
npa-cvr-source-set-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cert/build.rs	154	2
npa-fast-kernel-toolchain-v0-8-fixture	bump	npa-fast-kernel-toolchain-v0-9-fixture	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	629	3
npa-gitsel-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/build.rs	336	2
npa-kernel.core.v0.1	bump	npa-kernel.core.v0.2	machine_kernel_semantics_profile_loses_local_definitions_and_zeta	npa-core/crates/npa-api/src/session.rs	2470	3
npa-kwhnf-source-set-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/build.rs	358	3
npa-lean-builtin-shape-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-lean-exporter/crates/npa-lean-exporter/src/lower.rs	1156	1
npa-lean-decl-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-lean-exporter/crates/npa-lean-exporter/src/names.rs	121	1
npa-lean-module-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-lean-exporter/crates/npa-lean-exporter/src/names.rs	76	1
npa-lean-package-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-lean-exporter/crates/npa-lean-exporter/src/names.rs	55	1
npa-mathlib-downstream-proofs-generated-toolchain-v0.8.0-compat-manifest.json	bump	npa-mathlib-downstream-proofs-generated-toolchain-v0.9.0-compat-manifest.json	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	36	2
npa-mathlib-downstream-proofs-generated-toolchain-v0.8.0-compat.sha256	bump	npa-mathlib-downstream-proofs-generated-toolchain-v0.9.0-compat.sha256	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	34	2
npa-mathlib-downstream-proofs-generated-toolchain-v0.8.0-compat.tar.gz	bump	npa-mathlib-downstream-proofs-generated-toolchain-v0.9.0-compat.tar.gz	temporary_v0_8_toolchain_fixture_or_asset_name_replaced	npa-core/crates/npa-cli/src/checker_ext_toolchain_evidence.rs	32	2
npa-package-verifier-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/build.rs	269	3
npa-performance-sealed-run-catalog-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/examples/support/sealed_performance_run.rs	10	1
npa-snap-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/build.rs	184	4
npa-snap-vmsp-manager-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/build.rs	236	2
npa-tbac-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-cli/build.rs	392	2
npa-tdag-source-set-v2	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/build.rs	189	2
npa-true-batching-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/build.rs	521	2
npa-vmsp-source-set-v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/build.rs	440	4
npa.advanced-ai.candidate.v1	bump	npa.advanced-ai.candidate.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	39	1
npa.advanced-ai.env.v1	retain-with-domain-separated-child	npa.advanced-ai.env.v1	unchanged_layout_commits_new_import_certificate_hashes	npa-core/crates/npa-api/src/advanced_ai.rs	41	1
npa.advanced-ai.external-index-update.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	193	1
npa.advanced-ai.external_index_update.key.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	76	1
npa.advanced-ai.formalization.accepted_statement.v1	bump	npa.advanced-ai.formalization.accepted_statement.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	74	1
npa.advanced-ai.formalization.candidate_statement.v1	bump	npa.advanced-ai.formalization.candidate_statement.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	72	1
npa.advanced-ai.formalization.claim_span.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	68	1
npa.advanced-ai.formalization.proof_root.v1	retain-with-domain-separated-child	npa.advanced-ai.formalization.proof_root.v1	unchanged_layout_commits_new_candidate_and_accepted_statement_hashes	npa-core/crates/npa-api/src/advanced_ai.rs	75	1
npa.advanced-ai.formalization.rejection_reason.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	70	1
npa.advanced-ai.formalization.source_document.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	67	1
npa.advanced-ai.goal.v1	bump	npa.advanced-ai.goal.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	42	1
npa.advanced-ai.options.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	40	1
npa.advanced-ai.smt.certificate_metadata.v1	retain-with-domain-separated-child	npa.advanced-ai.smt.certificate_metadata.v1	unchanged_layout_commits_new_problem_proof_and_reconstruction_hashes	npa-core/crates/npa-api/src/advanced_ai.rs	54	1
npa.advanced-ai.smt.command_id.v1	bump	npa.advanced-ai.smt.command_id.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	57	1
npa.advanced-ai.smt.encoding.v1	retain-with-domain-separated-child	npa.advanced-ai.smt.encoding.v1	unchanged_layout_commits_new_smt_problem_hash	npa-core/crates/npa-api/src/advanced_ai.rs	49	1
npa.advanced-ai.smt.nat_to_int_side_condition.v1	bump	npa.advanced-ai.smt.nat_to_int_side_condition.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	56	1
npa.advanced-ai.smt.opaque_proof_payload.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	52	1
npa.advanced-ai.smt.problem.v1	bump	npa.advanced-ai.smt.problem.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	48	1
npa.advanced-ai.smt.proof_payload.v1	bump	npa.advanced-ai.smt.proof_payload.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	51	1
npa.advanced-ai.smt.reconstruction_plan.v1	bump	npa.advanced-ai.smt.reconstruction_plan.v2	advanced_ai_helper_trace_finds_inline_goal_local_or_expr_bytes	npa-core/crates/npa-api/src/advanced_ai.rs	53	1
npa.advanced-ai.smt.rule_descriptor.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	59	1
npa.advanced-ai.smt.rule_descriptor_fingerprint.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	61	1
npa.advanced-ai.smt.rule_registry.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	62	1
npa.advanced-ai.smt.smtlib_problem.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	50	1
npa.advanced-ai.smt.solver_handoff.v1	retain-with-domain-separated-child	npa.advanced-ai.smt.solver_handoff.v1	unchanged_layout_commits_new_problem_and_encoding_hashes	npa-core/crates/npa-api/src/advanced_ai.rs	65	1
npa.advanced-ai.smt.solver_process_policy.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	63	1
npa.advanced-ai.smt.solver_process_profile.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	64	1
npa.advanced-ai.smt.symbol.v1	unrelated	-	reviewed_outside_changed_term_local_context_diagnostic_or_zeta_payload	npa-core/crates/npa-api/src/advanced_ai.rs	58	1
npa.advanced-ai.theorem_graph.query_features.v1	retain-with-domain-separated-child	npa.advanced-ai.theorem_graph.query_features.v1	unchanged_layout_commits_new_goal_fingerprint_hash	npa-core/crates/npa-api/src/advanced_ai.rs	47	1
npa.advanced-ai.theorem_graph.snapshot.v1	retain-with-domain-separated-child	npa.advanced-ai.theorem_graph.snapshot.v1	unchanged_layout_commits_new_certificate_and_declaration_hashes	npa-core/crates/npa-api/src/advanced_ai.rs	45	1
